letter,category,word
A,Name,Alice
A,Country,Albania
A,Food,Apple
A,Animal,Antelope
A,Brand,Adidas
B,Name,Bob
B,Country,Brazil
B,Food,Banana
B,Animal,Bear
B,Brand,Burger King
C,Name,Charlie
C,Country,Canada
C,Food,Carrot
C,Animal,Cat
C,Brand,Coca-Cola
D,Name,David
D,Country,Denmark
D,Food,Date
D,Animal,Dog
D,Brand,Disney
E,Name,Emma
E,Country,Egypt
E,Food,Eggplant
E,Animal,Elephant
E,Brand,Ebay
F,Name,Frank
F,Country,France
F,Food,Fig
F,Animal,Fox
F,Brand,Ford
G,Name,Grace
G,Country,Germany
G,Food,Grape
G,Animal,Giraffe
G,Brand,Google
H,Name,Henry
H,Country,Hungary
H,Food,Honey
H,Animal,Horse
H,Brand,Honda
I,Name,Isabella
I,Country,Italy
I,Food,Ice Cream
I,Animal,Iguana
I,Brand,IKEA
J,Name,Jack
J,Country,Japan
J,Food,Jam
J,Animal,Jaguar
J,Brand,Jordan
K,Name,Kate
K,Country,Kenya
K,Food,Kiwi
K,Animal,Kangaroo
K,Brand,Kellogg's
L,Name,Liam
L,Country,Luxembourg
L,Food,Lemon
L,Animal,Lion
L,Brand,Lego
M,Name,Mia
M,Country,Mexico
M,Food,Mango
M,Animal,Monkey
M,Brand,Microsoft
N,Name,Noah
N,Country,Norway
N,Food,Noodle
N,Animal,Newt
N,Brand,Nike
O,Name,Olivia
O,Country,Oman
O,Food,Orange
O,Animal,Owl
O,Brand,Oracle
P,Name,Paul
P,Country,Portugal
P,Food,Peach
P,Animal,Panda
P,Brand,Pepsi
Q,Name,Quinn
Q,Country,Qatar
Q,Food,Quince
Q,Animal,Quail
Q,Brand,Quaker
R,Name,Ryan
R,Country,Russia
R,Food,Rice
R,Animal,Rabbit
R,Brand,Rolex
S,Name,Sophia
S,Country,Spain
S,Food,Strawberry
S,Animal,Shark
S,Brand,Samsung
T,Name,Thomas
T,Country,Thailand
T,Food,Tomato
T,Animal,Tiger
T,Brand,Toyota
U,Name,Uma
U,Country,Uruguay
U,Food,Udon
U,Animal,Urchin
U,Brand,Uber
V,Name,Victor
V,Country,Vietnam
V,Food,Vanilla
V,Animal,Vulture
V,Brand,Visa
W,Name,William
W,Country,Wales
W,Food,Watermelon
W,Animal,Wolf
W,Brand,Walmart
X,Name,Xavier
X,Country,Xian (City)
X,Food,Xigua
X,Animal,X-Ray Tetra
X,Brand,Xerox
Y,Name,Yosef
Y,Country,Yemen
Y,Food,Yogurt
Y,Animal,Yak
Y,Brand,Yahoo
Z,Name,Zoe
Z,Country,Zambia
Z,Food,Zucchini
Z,Animal,Zebra
Z,Brand,Zara
